違反條款,件數,金額總和,金額平均,金額最高
勞工職業災害保險及保護法第12條,10254,205080000,20000,20000
勞工職業災害保險及保護法第17條,4619,92380000,20000,20000
勞工職業災害保險及保護法第12條;勞工職業災害保險及保護法第17條,685,27400000,40000,40000
勞工職業災害保險及保護法第15條第4項,359,19000000,52925,200000
勞工職業災害保險及保護法第15條第3項,21,420000,20000,20000
勞工職業災害保險及保護法第19條第1款,1,20000,20000,20000
