條文ID,法規,條號,條文摘要
L036,勞工職業災害保險及保護法,第12條,投保單位為所屬勞工辦理投保與退保義務
L037,勞工職業災害保險及保護法,第15條,勞工名冊出勤工作紀錄及薪資帳冊備置保存與查對義務
L038,勞工職業災害保險及保護法,第17條,月投保薪資申報及調整通知義務
L039,勞工職業災害保險及保護法,第19條,投保單位負擔保險費義務
