違規態樣,件數,金額總和,金額平均
未依規定給付延時工資;未依規定每7日給予勞工1日例假。,1,40000,40000
未依法給付預告期間之工資;工資未依法給付給勞工;工資未定期給付勞工，或未提供工資各項目計算方式明細;未依規定置備勞工出勤紀錄,1,150000,150000
國定休假日出勤為加倍發給工資,1,20000,20000
延長勞工之工作時間連同正常工作時間，1日不得超過12小時,1,20000,20000
工資未全額給付予勞工,1,20000,20000
工資定期給付，日期未有明確約定。,1,20000,20000
勞工延長工作時間超過法定時數,1,50000,50000
工資之給付，除當事人有特別約定或按月預付者外，每月至少定期發給二次，並應提供工資各項目計算方式明細,1,20000,20000
工資未全額直接給付勞工;未依規定給付特別休假未休之工資,1,40000,40000
未依規定詳實記載勞工出勤情形至分鐘,1,20000,20000
工資未全額給付勞工;每月延長工時超過法定上限;勞工之特別休假，因年度終結或契約終止而未休之日數，未發給工資,1,60000,60000
經主管機關限期給付仍未給付,1,20000,20000
招募廣告刊登性別條件。,1,300000,300000
每7日中未有1日之休息作為例假,1,20000,20000
工資未依法給付給勞工;工作規則未經主管機關核備;延長工作時間未依規定加給工資;勞工之特別休假期日未由勞工自行排定,1,80000,80000
未依法給付職業災害期間原領工資,1,20000,20000
工資應全額直接給付勞工;勞工因婚、喪、疾病或其他正當事由得請假；並依規給付工資,1,40000,40000
未依規定給予職業災害醫療費用補償,1,20000,20000
雇主拒絕育嬰留職停薪期滿復職。,1,20000,20000
因受僱者提出本法之申訴而予以不利之處分,1,20000,20000
勞工繼續工作4小時，至少應有30分鐘之休息。,1,20000,20000
積欠工資,1,20000,20000
未依規定給予勞工特別休假工資;未依法給予勞工職業災害原領工資補償,1,40000,40000
"在同一雇主或事業單位繼續工作滿一定期間者 
，未依規定給予特別休假",1,20000,20000
受僱者於育嬰留職停薪屆滿後，申請復職時，雇主未依法先經勞工主管機關同意，即逕行以虧損或業務緊縮為由資遣育嬰留職停薪復職員工。,1,20000,20000
工作規則未經主管機關核備。,1,20000,20000
