權益ID,給付名稱,申請條件,時效_年,受理單位ID
B001,傷病給付,不能工作未取得原領薪資達4日以上,5,U001
B002,失能給付,經評估失能等級,5,U001
B003,死亡給付_喪葬津貼,因職災死亡,5,U001
B004,死亡給付_遺屬年金,因職災死亡且有合格遺屬,5,U001
B005,醫療給付,因職災就診,5,U001
B006,照護補助,經失能或重傷需照護,5,U001
B007,大量解僱通知與協商資訊權,雇主達大量解僱門檻時勞工得取得預告通知與協商資訊,,
B008,工資推定與舉證減輕,雇主未提出工資或出勤資料時勞工可主張工資推定,,
B009,勞動調解程序保障,勞動事件起訴前原則上先經法院勞動調解程序,,
