義務ID,義務名稱,申報期限_小時,申報期限_文字,通報單位ID
D001,重大職災通報,8,事故發生8小時內,U003
D002,工資補償,,受傷不能工作期間原領工資,
D003,醫療補償,,醫療必要費用,
D004,失能補償,,依失能等級計算,
D005,死亡補償,,5個月平均工資+40個月死亡補償,
D006,工時記錄保存,,出勤紀錄保存5年,
D007,健康檢查與監測,,依職安法定期實施,U002
D008,現場保留與調查協助,,重大職災現場保留待調查,U003
